County,Per Capita Income (USD),Median Household Income (USD)
Fulton,36757.0,56857.0
Fayette,35344.0,79977.0
Forsyth,34582.0,86569.0
Oconee,33801.0,75004.0
Cobb,33069.0,63920.0
Harris,31482.0,69223.0
Columbia,30949.0,69306.0
Cherokee,29615.0,67261.0
DeKalb,28810.0,50856.0
Greene,27828.0,42565.0
Bryan,27556.0,64707.0
Dawson,27330.0,53525.0
Coweta,26757.0,60813.0
Glynn,26724.0,46407.0
Pickens,26686.0,51383.0
Lee,26357.0,60104.0
Putnam,26321.0,44764.0
Morgan,25933.0,47729.0
Gwinnett,25932.0,60445.0
Henry,25299.0,60781.0
Houston,25195.0,54893.0
Chatham,25093.0,45794.0
Effingham,24824.0,63030.0
Jones,24485.0,51497.0
Paulding,24168.0,61837.0
Hall,23645.0,50853.0
Douglas,23626.0,52691.0
Rockdale,23461.0,52579.0
Jackson,23247.0,53179.0
Monroe,22888.0,48630.0
Muscogee,22856.0,41339.0
Walton,22824.0,52369.0
Camden,22701.0,51990.0
Rabun,22260.0,35423.0
Pike,22191.0,53865.0
Union,22156.0,40009.0
White,22059.0,40670.0
Catoosa,21690.0,47087.0
Dade,21690.0,43205.0
Newton,21484.0,50580.0
McIntosh,21484.0,39068.0
Troup,21443.0,41161.0
Barrow,21379.0,53274.0
Gilmer,21317.0,39140.0
Jasper,21297.0,42192.0
Carroll,21227.0,46147.0
Bartow,21022.0,47197.0
Bibb,20982.0,37550.0
Lumpkin,20908.0,43775.0
Walker,20865.0,39963.0
Liberty,20791.0,43832.0
Lincoln,20641.0,35625.0
Crawford,20556.0,41586.0
Richmond,20526.0,37749.0
Floyd,20500.0,40821.0
Oglethorpe,20493.0,45729.0
Towns,20419.0,36570.0
Hart,20371.0,35615.0
Butts,20363.0,49754.0
Banks,20231.0,41141.0
Bleckley,20156.0,36073.0
Chattahoochee,20042.0,48758.0
Pierce,20001.0,39067.0
Thomas,19983.0,34035.0
Madison,19939.0,42549.0
Haralson,19789.0,39993.0
Spalding,19783.0,41534.0
Miller,19674.0,32260.0
Appling,19643.0,36786.0
Whitfield,19497.0,40471.0
Peach,19431.0,39844.0
Treutlen,19410.0,37894.0
Brooks,19409.0,34419.0
Clarke,19295.0,33060.0
Gordon,19177.0,40926.0
Fannin,19164.0,34239.0
Webster,19082.0,35718.0
Schley,19037.0,38425.0
Evans,18998.0,36788.0
Heard,18964.0,39909.0
Tift,18933.0,34591.0
Habersham,18910.0,39306.0
Lowndes,18897.0,37365.0
Ware,18842.0,34572.0
Elbert,18835.0,35817.0
Meriwether,18821.0,37333.0
Lamar,18800.0,41016.0
Toombs,18716.0,31189.0
Screven,18640.0,34848.0
Laurens,18625.0,34793.0
Baldwin,18622.0,32751.0
Dougherty,18619.0,31671.0
Cook,18592.0,34985.0
Bulloch,18587.0,35840.0
Bacon,18558.0,33757.0
Stephens,18557.0,37898.0
Worth,18551.0,35792.0
Polk,18336.0,39208.0
Franklin,18234.0,34830.0
Irwin,18207.0,40771.0
Crisp,18185.0,35240.0
Dodge,18114.0,37292.0
Randolph,18094.0,30023.0
Decatur,18059.0,30619.0
Glascock,17984.0,37760.0
Upson,17978.0,35329.0
Candler,17974.0,35070.0
Twiggs,17952.0,31234.0
Clayton,17950.0,40606.0
McDuffie,17922.0,37487.0
Warren,17884.0,27796.0
Sumter,17879.0,33796.0
Clinch,17815.0,30345.0
Pulaski,17781.0,41550.0
Jeff Davis,17684.0,36296.0
Seminole,17641.0,30521.0
Turner,17609.0,28326.0
Early,17579.0,28853.0
Jenkins,17565.0,26104.0
Washington County,17515.0,33652.0
Marion,17479.0,33301.0
Wayne,17270.0,35830.0
Lanier,17264.0,39452.0
Wilkinson,17228.0,36173.0
Long,17158.0,42651.0
Wilkes,17120.0,28983.0
Charlton,17102.0,40111.0
Taylor,17078.0,27455.0
Emanuel,17064.0,32046.0
Coffee,17031.0,35693.0
Colquitt,17025.0,32484.0
Baker,17019.0,27353.0
Talbot,16993.0,32424.0
Brantley,16938.0,36070.0
Terrell,16836.0,32628.0
Johnson,16807.0,36722.0
Berrien,16784.0,32258.0
Montgomery,16460.0,32702.0
Murray,16449.0,34888.0
Burke,16171.0,31494.0
Chattooga,16045.0,33228.0
Atkinson,15958.0,30049.0
Echols,15861.0,31375.0
Grady,15734.0,30571.0
Mitchell,15694.0,32054.0
Tattnall,15280.0,37587.0
Calhoun,14868.0,26986.0
Jefferson,14757.0,26968.0
Dooly,14510.0,29012.0
Taliaferro,14381.0,25465.0
Ben Hill,14204.0,28547.0
Quitman,14201.0,31068.0
Macon,13865.0,30240.0
Stewart,13238.0,23451.0
Wilcox,13228.0,32928.0
Clay,12982.0,21192.0
Telfair,12489.0,26634.0
Hancock,12381.0,25000.0
Wheeler,8948.0,24382.0
