,Population,State
0,5039877,Alabama
1,732673,Alaska
2,7276316,Arizona
3,3025891,Arkansas
4,39237836,California
5,5812069,Colorado
6,3605597,Connecticut
7,1003384,Delaware
8,670050,District of Columbia
9,21781128,Florida
10,10799566,Georgia
11,1441553,Hawaii
12,1900923,Idaho
13,12671469,Illinois
14,6805985,Indiana
15,3193079,Iowa
16,2934582,Kansas
17,4509394,Kentucky
18,4624047,Louisiana
19,1372247,Maine
20,6165129,Maryland
21,6984723,Massachusetts
22,10050811,Michigan
23,5707390,Minnesota
24,2949965,Mississippi
25,6168187,Missouri
26,1104271,Montana
27,1963692,Nebraska
28,3143991,Nevada
29,1388992,New Hampshire
30,9267130,New Jersey
31,2115877,New Mexico
32,19835913,New York
33,10551162,North Carolina
34,774948,North Dakota
35,11780017,Ohio
36,3986639,Oklahoma
37,4246155,Oregon
38,12964056,Pennsylvania
39,3263584,Puerto Rico
40,1095610,Rhode Island
41,5190705,South Carolina
42,895376,South Dakota
43,6975218,Tennessee
44,29527941,Texas
45,3337975,Utah
46,645570,Vermont
47,8642274,Virginia
48,7738692,Washington
49,1782959,West Virginia
50,5895908,Wisconsin
51,578803,Wyoming
