State,Free/Reduced Lunch,Total Students,Full-Time Teachers,Student-to-Teacher Ratio
AK,104.25,130709.0,7160.48,20.22
AL,327.11,733241.0,41775.44,17.63
AR,296.27,492617.0,38748.81,13.38
AZ,319.52,880784.0,48974.62,17.35
CA,349.94,5837122.0,267284.85,21.22
CO,193.57,795906.0,48841.14,15.92
CT,208.0,495426.0,42142.68,11.99
FL,391.96,2817201.0,155837.73,18.2
GA,454.62,1750652.0,118650.8,14.36
HI,265.92,170209.0,11609.29,14.23
IA,160.35,502421.0,34935.57,14.54
ID,151.51,286935.0,16141.73,17.63
IL,247.64,1596309.0,114411.92,14.36
IN,282.52,1030743.0,65257.8,16.45
KS,177.69,480204.0,33919.79,14.04
KY,273.25,658564.0,42729.36,15.41
LA,338.13,716910.0,41016.79,18.91
MD,328.85,889510.0,60463.99,14.28
ME,111.16,166810.0,14774.3,10.98
MI,219.7,1379601.0,81201.21,18.44
MN,168.1,860363.0,54414.69,15.7
MO,182.95,888178.0,67810.01,12.6
MP,272.62,9336.0,528.3,21.28
MS,498.28,442336.0,32769.8,13.13
MT,79.75,399.0,32.0,16.36
NC,353.91,1454231.0,93541.55,15.72
ND,79.17,121705.0,9844.49,15.61
NE,115.64,261461.0,19208.73,13.91
NH,78.84,167209.0,14739.04,11.28
NJ,194.36,1342207.0,115586.89,11.89
NM,262.48,320496.0,21997.66,14.89
NV,574.54,475638.0,22475.66,21.88
NY,298.82,2358065.0,202170.12,11.93
OH,187.05,1070746.0,59866.76,18.15
OK,238.3,701570.0,42148.88,15.86
OR,246.82,501236.0,27851.87,17.6
PA,318.9,1579259.0,115302.77,13.55
PR,268.78,250668.0,23920.0,10.2
RI,202.33,135570.0,10488.5,13.16
SC,455.79,788701.0,53682.32,14.18
SD,72.37,147207.0,10586.21,14.02
TX,393.16,5345856.0,361703.33,14.4
UT,190.21,689039.0,30702.36,22.61
VA,371.47,1222904.0,86444.25,13.87
VI,481.1,10166.0,837.0,12.51
VT,86.29,79833.0,6675.16,12.6
WA,236.01,1078923.0,62556.5,18.37
WI,152.71,820357.0,59388.13,15.36
WY,93.39,92325.0,7302.95,11.5
